,經度,緯度
0,121.5336019,25.0644680
1,121.5466897,25.0818613
2,121.5108060,25.0823359
3,121.5133461,25.1204256
4,121.5309088,25.0401449
5,121.5280820,25.0256488
6,121.5209826,25.0502301
7,121.5273018,25.0636861
8,121.5768156,24.9887379
9,121.5293565,25.0285737
10,121.5069227,25.1275834
11,121.5610520,25.0290223
12,121.5420770,24.9900150
13,121.5801461,25.0363736
14,121.4888441,25.1409510
15,121.5460146,25.0484530
16,121.5200062,25.0400267
17,121.5187773,25.0758356
18,121.5439587,25.0216747
19,121.5564236,24.9796302
20,121.5549617,24.9956807
21,121.5453532,25.0254000
22,121.4958294,25.0278103
23,121.5768628,25.0497699
24,121.5016372,25.0322830
25,121.5224956,25.1174295
26,121.5084373,25.1192061
27,121.5628508,25.0592034
28,121.5226675,25.1131438
29,121.4931751,25.1455853
30,121.5175681,25.1183216
31,121.5331562,25.1234670
32,121.5605882,25.0400320
33,121.5457686,25.0414880
34,121.5692195,25.0022201
35,121.5514628,25.0569352
36,121.5688378,25.0243431
37,121.5138964,25.0379300
38,121.5514694,25.0015142
39,121.5607933,24.9878064
40,121.6101922,25.0758624
41,121.5180681,25.0873152
42,121.5164515,25.0569190
43,121.5614072,24.9739485
44,121.5253662,25.1104596
45,121.5551379,25.0364573
46,121.5411992,25.0178300
47,121.5486925,25.1002536
48,121.5201363,25.0432119
49,121.5117347,25.0404859
50,121.5149705,25.0311976
51,121.5585350,25.0008370
52,121.5360194,25.1265252
53,121.5306502,25.0197610
54,121.5775529,25.0431022
55,121.5100725,25.1140781
56,121.5944695,25.0539774
57,121.4981407,25.0226735
58,121.5104373,25.0251805
59,121.5120721,25.0592209
60,121.5666443,25.0850110
61,121.5691790,24.9885864
62,121.5888523,25.0694201
63,121.5088930,25.0436550
64,121.5185764,25.0956773
65,121.5122846,25.0380888
66,121.5395544,25.1364348
67,121.5869102,25.0475509
68,121.5188503,25.0592526
69,121.5135396,25.0308469
70,121.5916605,25.0839540
71,121.5142073,25.0373620
72,121.5799582,25.0793857
73,121.5829625,25.0826908
74,121.5515894,25.0631877
75,121.5750310,25.0797739
76,121.5725234,25.0826290
77,121.5756567,25.0819890
78,121.5870017,25.0783615
79,121.5889866,25.0764112
80,121.5510755,24.9880278
81,121.4745959,25.1061456
82,121.5599037,25.0437329
